filename,source_name,coordinates
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:20:34.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:18:58.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:19:54.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:17:38.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:22:17.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:20:10.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:18:02.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:21:45.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:21:53.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:21:29.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:22:09.sf,J1604-4833,13:38:28.000-64:25:20.20
/beegfs/DATA/PTUSE/SCI-20200703-MK-02/search/4/2025-01-30-06:16:50/J1604-4833/1284/2025-01-30-06:21:13.sf,J1604-4833,13:38:28.000-64:25:20.20
